date,team,elo,tournament_year,year
2006-06-27,Brazil,2436.1,2006,2006
2006-07-09,Italy,2350.22,2006,2006
1994-06-17,Germany,2346.05,1994,1994
2022-12-18,Argentina,2331.05,2022,2022
1998-07-12,France,2296.13,1998,1998
2010-07-11,Spain,2137.17,2010,2010
1970-06-02,England,2042.35,1970,1970
1954-06-26,Uruguay,1939.58,1954,1954
2010-07-06,Netherlands,1854.59,2010,2010
2022-12-09,Croatia,1847.9,2022,2022
1954-06-30,Hungary,1845.59,1954,1954
2018-07-06,Belgium,1749.52,2018,2018
1958-06-24,Sweden,1719.17,1958,1958
2010-06-25,Portugal,1704.09,2010,2010
1962-06-17,Czechoslovakia,1690.49,1962,1962
1982-06-28,Poland,1680.35,1982,1982
2002-06-11,Denmark,1644.99,2002,2002
2022-12-10,Morocco,1643.27,2022,2022
1966-07-23,Soviet Union,1630.55,1966,1966
2018-06-23,Mexico,1625.52,2018,2018
1998-06-25,Yugoslavia,1617.92,1998,1998
2014-06-18,Chile,1603.85,2014,2014
2002-06-29,Turkey,1602.73,2002,2002
1982-06-21,Austria,1602.08,1982,1982
2014-06-29,Costa Rica,1591.04,2014,2014
2002-06-16,Senegal,1588.34,2002,2002
2006-06-18,South Korea,1585.86,2006,2006
1994-07-10,Bulgaria,1584.37,1994,1994
2022-11-25,Ecuador,1582.35,2022,2022
1990-06-14,Cameroon,1582.32,1990,1990
1994-06-18,Republic of Ireland,1582.21,1994,1994
2010-06-29,Paraguay,1578.63,2010,2010
2018-06-28,Colombia,1577.37,2018,2018
1998-06-19,Nigeria,1575.89,1998,1998
2010-06-26,Ghana,1568.84,2010,2010
1998-06-22,Romania,1559.7,1998,1998
1974-06-22,East Germany,1558.48,1974,1974
2018-07-01,Russia,1554.94,2018,2018
2022-12-02,Switzerland,1553.52,2022,2022
1998-06-23,Norway,1553.13,1998,1998
2014-06-14,Ivory Coast,1552.88,2014,2014
2006-06-26,Ukraine,1546.97,2006,2006
1930-07-17,United States,1544.48,1930,1930
1982-06-24,Algeria,1540.81,1982,1982
1978-06-11,Peru,1537.49,1978,1978
1958-06-17,Northern Ireland,1537.4,1958,1958
1958-06-17,Wales,1533.62,1958,1958
1994-06-29,Saudi Arabia,1528.5,1994,1994
1938-06-09,Cuba,1525.73,1938,1938
2018-06-17,Serbia,1523.71,2018,2018
1966-07-19,North Korea,1522.74,1966,1966
1978-06-10,Tunisia,1522.06,1978,1978
2010-06-22,South Africa,1521.22,2010,2010
2010-06-24,Slovakia,1519.74,2010,2010
2006-06-12,Czech Republic,1519.29,2006,2006
1982-06-22,Scotland,1518.75,1982,1982
2010-06-23,Australia,1518.0,2010,2010
2018-06-16,Iceland,1516.68,2018,2018
1970-06-11,Israel,1512.32,1970,1970
2010-06-24,Japan,1509.1,2010,2010
1982-06-17,Kuwait,1508.07,1982,1982
2006-06-10,Trinidad and Tobago,1507.48,2006,2006
1982-06-16,Honduras,1501.27,1982,1982
1994-06-21,Greece,1498.19,1994,1994
1974-06-15,Haiti,1496.92,1974,1974
1998-06-26,Jamaica,1496.33,1998,1998
2014-06-15,Bosnia and Herzegovina,1494.78,2014,2014
2006-06-11,Serbia and Montenegro,1488.87,2006,2006
2010-06-24,New Zealand,1484.39,2010,2010
2006-06-16,Angola,1483.92,2006,2006
2018-06-18,Panama,1483.34,2018,2018
1978-06-03,Iran,1483.28,1978,1978
2002-06-02,Slovenia,1483.19,2002,2002
2006-06-13,Togo,1481.94,2006,2006
1986-06-01,Canada,1481.45,1986,1986
2022-11-20,Qatar,1481.18,2022,2022
2002-06-04,China,1479.26,2002,2002
1986-06-04,Iraq,1478.64,1986,1986
1930-07-17,Bolivia,1477.45,1930,1930
1990-06-09,United Arab Emirates,1476.12,1990,1990
1990-06-17,Egypt,1475.31,1990,1990
1974-06-14,Zaire,1473.85,1974,1974
1970-06-03,El Salvador,1470.62,1970,1970
1938-06-05,Dutch East Indies,1462.51,1938,1938
